"VEGOBJEKT-ID";"TYPE-ID";"VERSJON";"FØRSTE FOREKOMST";"STARTDATO";"SLUTTDATO";"SIST MODIFISERT";"FERJE TIL";"ANTALL OPPSTILLINGSFELT (STK)";"LENGDE OPPSTILLINGSFELT, FORFLYTNINGSHEMMEDE (M)";"LENGDE OPPSTILLINGSFELT, TUNGE KJØRETØY (M)";"LENGDE OPPSTILLINGSFELT, PERSONBIL/KOMBINERT (M)";"ANTALL OPPSTILLINGSPL. SMÅ KJT. (STK)";"AREAL (M2)";"ETABLERINGSÅR";"TILLEGGSINFORMASJON";"PROSJEKTREFERANSE";"PROSJEKTINTERNOBJEKT_ID";"EIER";"VEDLIKEHOLDSANSVARLIG";"GEOMETRI, PUNKT";"UTGÅR_GEOMETRI, LINJE";"GEOMETRI, FLATE";"UTGÅR_HAR PARKERINGSPLASS";"LOK.KOMMUNE";"LOK.KOMMUNENUMMER";"LOK.FYLKE";"LOK.FYLKESNUMMER";"LOK.RIKSVEGRUTE";"LOK.KONTRAKTSOMRÅDE";"LOK.VEGSYSTEMREFERANSE";"LOK.VEGKATEGORI";"LOK.FASE";"LOK.VEGNUMMER";"LOK.STREKNING";"LOK.DELSTREKNING";"FRA METER";"TIL METER";"VEGLENKESEKVENSID";"STARTPOSISJON";"SLUTTPOSISJON";"STREKNING.RETNING";"SIDEPOSISJON";"KJØREFELT";"TYPEVEG";"LENGDE";"MOR";"BARN";"GEOMETRI"
"1013360207";"41";"1";"1";"2021-03-05";"";"2023-12-04T10:45:48";"Jondal";"5";"";"";"";"";"";"";"";"";"";"";"";"POINT (13031.536191408 6717617.03969318)";"";"POLYGON ((12964.9334781383 6717633.81941877, 12962.2844286603 6717626.5345327, 12977.3508975666 6717620.73973697, 12985.6291771855 6717618.91851546, 12999.7022525375 6717614.77937565, 13008.8083601183 6717610.64023584, 13029.6696247578 6717602.03082503, 13036.1266828605 6717614.44824446, 13019.0734268457 6717622.56095849, 13002.6824332003 6717628.852451, 12964.9334781383 6717633.81941877))";"";"Kvam";"4622";"Vestland";"46";"";"1208 Sunnhordland 2019-2024,E1260 Hordaland vest 2016-2022,4611 Tunnel 2021-2025,E4652 Hardanger,4660 Drift og vedlikehold av ferjekaier Vestland 2021-2026,4612 Midthordland 2024-2029";"FV49 S7D1 m23";"Fylkesveg";"Eksisterende";"49";"7";"1";"22,867";"22,867";"804990";"0,12493718";"0,12493718";"WITH";"";"";"kanalisertVeg";"0";"";"";"POINT Z(13035.478 6717619.108 3.289)"
"1013360208";"41";"1";"1";"2021-03-05";"";"2023-06-12T08:56:03";"Valestrandsfossen";"6";"";"";"";"";"";"";"";"";"";"";"";"POINT (-26281.5376080339 6744536.19777822)";"";"";"";"Bergen";"4601";"Vestland";"46";"";"4604 Bergen-Os-Austevoll 2021-2026,E1260 Hordaland vest 2016-2022,4611 Tunnel 2021-2025,E4651 Bergen,4660 Drift og vedlikehold av ferjekaier Vestland 2021-2026";"FV567 S1D1 m2011";"Fylkesveg";"Eksisterende";"567";"1";"1";"2010,672";"2010,672";"805097";"0,98669195";"0,98669195";"WITH";"";"";"enkelBilveg";"0";"64:119378462";"";"POINT Z(-26280.68 6744537.33 2.2)"
"1013360209";"41";"1";"1";"2021-03-05";"";"2023-02-14T17:07:28";"Breistein";"2";"";"";"";"";"";"";"";"";"";"";"";"POINT (-24508.9614351376 6745933.20703887)";"";"";"";"Osterøy";"4630";"Vestland";"46";"";"E1260 Hordaland vest 2016-2022,Osterøy fv,4611 Tunnel 2021-2025,1206 Voss 2019-2024,1206 Voss 2019-2024 (2022-),E4651 Bergen,4660 Drift og vedlikehold av ferjekaier Vestland 2021-2026,4612 Midthordland 2024-2029";"FV567 S3D1 m12";"Fylkesveg";"Eksisterende";"567";"3";"1";"12,016";"12,016";"805099";"0,00304061";"0,00304061";"WITH";"";"";"enkelBilveg";"0";"64:119378463";"";"POINT Z(-24508.755 6745932.652 2.585)"
"1013360210";"41";"1";"1";"2021-03-05";"";"2021-08-17T10:53:10";"Gjervik, Fure, Værlandet";"6";"";"";"";"";"";"";"";"";"";"";"";"POINT (-30106.6096451097 6841737.54182693)";"";"POLYGON ((-30106.507051375 6841737.81132531, -30094.1885380793 6841743.97058196, -30092.3065429924 6841750.81420046, -30091.9643620675 6841756.11800479, -30107.5335941497 6841784.00575017, -30114.7193935722 6841786.40101665, -30125.8402736308 6841788.79628312, -30133.5393444406 6841783.32138832, -30106.507051375 6841737.81132531))";"";"Askvoll";"4645";"Vestland";"46";"";"E1455 Elektrokontrakt Fjordane 2018-2023,1406 HAFS 2017-2022,4607 Sunnfjord sør 2022,4607 Sunnfjord sør 2023,4611 Tunnel 2021-2025,E4654 Fjordane 2023-2028,4660 Drift og vedlikehold av ferjekaier Vestland 2021-2026";"FV608 S1D1 m4357";"Fylkesveg";"Eksisterende";"608";"1";"1";"4356,982";"4356,982";"2637834";"0,75531915";"0,75531915";"WITH";"";"";"enkelBilveg";"0";"64:737856652";"";"POINT Z(-30106.285 6841737.252 2.468)"
"1013491504";"41";"1";"1";"2021-04-20";"";"2021-12-16T16:05:01";"Merkjarvik - Kvitsøy";"6";"";"";"100";"";"2182";"";"";"";"";"Fylkeskommune";"Fylkeskommune";"";"";"POLYGON ((-37756.174741855124 6580461.087178033, -37750.98038016842 6580456.8629796915, -37745.67545970611 6580454.620329939, -37740.89917356637 6580452.477395823, -37736.90759709012 6580452.457051358, -37728.172569318675 6580455.418948833, -37787.58000242512 6580551.870690082, -37804.543585706386 6580541.810451455, -37756.174741855124 6580461.087178033))";"";"Randaberg";"1127";"Rogaland";"11";"";"1153 Fv Elektro Drift Sør-Rogaland 2021-2024,RFK Stavanger 2026-2027,1153 FV Elektro Drift Sør-Rogaland 2024-2025,1103 Stavanger 2022-2027";"FV521 S1D1 m1884";"Fylkesveg";"Eksisterende";"521";"1";"1";"1884,226";"1884,226";"319968";"0,95178686";"0,95178686";"";"";"";"enkelBilveg";"0";"";"";"POINT Z(-37751.161 6580508.029 1.922)"
"1013499443";"41";"1";"1";"2021-04-23";"";"2022-10-06T21:23:29";"Stavanger - Tau";"4";"";"";"";"";"2867";"";"";"";"";"Fylkeskommune";"Fylkeskommune";"";"";"POLYGON ((-31342.47429362696 6573839.09564122, -31342.423371689278 6573833.96945908, -31341.16990355868 6573830.383982168, -31339.180142920348 6573827.950592931, -31337.208412806503 6573826.150745599, -31332.80998568656 6573824.536537211, -31316.563127065194 6573818.353005508, -31286.84013918694 6573807.862147768, -31248.890657089185 6573793.719594904, -31227.75309215684 6573786.3428269485, -31220.447820440633 6573783.266303972, -31203.877771357656 6573775.428677598, -31196.74780278711 6573771.249354815, -31187.382516113226 6573767.665383668, -31175.134136111592 6573763.161192909, -31161.28864708962 6573758.242556874, -31135.28089936229 6573749.016291606, -31117.38659487071 6573742.674490032, -31110.548058400862 6573740.273125754, -31107.419668618357 6573739.481755393, -31104.59605510102 6573738.796756385, -31101.387696007034 6573738.476352401, -31094.366866261116 6573738.34676775, -31083.556942830095 6573739.715871653, -31087.873700670432 6573743.594304447, -31090.882207371644 6573743.362118946, -31095.355137110455 6573743.731477552, -31100.925553711946 6573745.04110342, -31117.250682978425 6573751.277133718, -31151.41270643531 6573763.095536501, -31166.866922552697 6573769.819909615, -31185.561466627987 6573779.279939094, -31199.055843498907 6573786.305025842, -31209.414728806238 6573791.318206941, -31220.583190557314 6573796.281423476, -31232.340539981262 6573800.944066535, -31248.859583417652 6573807.264497485, -31281.684901380097 6573819.088856668, -31311.439228362055 6573829.456427355, -31326.471158715198 6573834.676106626, -31332.86178135255 6573836.774242818, -31337.2997852877 6573839.223522839, -31339.174492297694 6573841.463580579, -31340.941493457183 6573844.22034633, -31342.47429362696 6573839.09564122))";"Nei";"Stavanger";"1103";"Rogaland";"11";"";"1153 Fv Elektro Drift Sør-Rogaland 2021-2024,RFK Stavanger 2026-2027,1153 FV Elektro Drift Sør-Rogaland 2024-2025,1103 Stavanger 2022-2027";"FV441 S1D1 m8907";"Fylkesveg";"Eksisterende";"441";"1";"1";"8907,496";"8907,496";"319888";"0,59837869";"0,59837869";"";"";"";"kanalisertVeg";"0";"";"";"POINT Z(-31229.465 6573785.973 1.125)"
"1013499696";"41";"1";"1";"2021-04-23";"";"2022-08-16T13:21:38";"Stavanger - Vassøy";"4";"";"";"";"";"637";"";"";"";"";"Fylkeskommune";"Fylkeskommune";"";"";"POLYGON ((-31481.318433211534 6573896.648289701, -31484.52937703044 6573885.107645236, -31490.531230290537 6573878.246532353, -31492.1822389937 6573874.818746253, -31492.880520117003 6573871.9313819185, -31492.734082270414 6573870.209278514, -31487.63616081362 6573868.975711374, -31482.55978237046 6573867.638808888, -31476.72046409629 6573866.475362862, -31459.297921701218 6573862.658067056, -31457.55003918556 6573869.574855576, -31466.106734556262 6573871.522152802, -31471.321509629954 6573873.800090491, -31474.438695168938 6573875.306317028, -31475.55795378692 6573876.547520724, -31475.543852102244 6573878.605232055, -31472.62568546785 6573889.626696795, -31468.03418897814 6573899.71236226, -31463.04052610451 6573916.640429412, -31481.318433211534 6573896.648289701))";"";"Stavanger";"1103";"Rogaland";"11";"";"1153 Fv Elektro Drift Sør-Rogaland 2021-2024,RFK Stavanger 2026-2027,1153 FV Elektro Drift Sør-Rogaland 2024-2025,1103 Stavanger 2022-2027";"FV4568 S1D10 m92";"Fylkesveg";"Eksisterende";"4568";"1";"10";"92";"92";"320704";"0,67306511";"0,67306511";"";"";"";"enkelBilveg";"0";"";"";"POINT Z(-31470.28 6573887.241 1.262)"
"1013501266";"41";"1";"1";"2021-04-23";"";"2021-04-29T10:06:18";"";"1";"50";"";"";"";"140";"";"";"";"";"Fylkeskommune";"Fylkeskommune";"";"";"POLYGON ((-20482.532216874242 6594685.807516044, -20483.5930149107 6594682.261270657, -20485.82407206454 6594678.777732369, -20489.113478122978 6594674.939806578, -20494.5651762145 6594671.1886417605, -20475.835719256254 6594673.961591942, -20477.345723887556 6594687.072496718, -20482.081226002192 6594690.050917435, -20482.532216874242 6594685.807516044))";"";"Stavanger";"1103";"Rogaland";"11";"";"1153 Fv Elektro Drift Sør-Rogaland 2021-2024,RFK Stavanger 2026-2027,Drift og Vedlikehold av ferjekaier Rogaland 2018-2023,1153 FV Elektro Drift Sør-Rogaland 2024-2025,1103 Stavanger 2022-2027,1152 Drift og vedlikehold av ferjekaier i Rogaland 2023-2028";"FV519 S1D1 m16849";"Fylkesveg";"Eksisterende";"519";"1";"1";"16848,752";"16848,752";"2528669";"0,90615942";"0,90615942";"";"";"";"enkelBilveg";"0";"";"";"POINT Z(-20488.562 6594679.99 2.153)"
"1013512499";"41";"1";"1";"2021-04-28";"";"2023-04-21T14:15:53";"Hatvik-Venjaneset";"3";"";"";"";"";"";"";"";"";"";"Fylkeskommune";"";"POINT (-23334.1646242526 6712227.80383)";"";"POLYGON ((-23410.5064375486 6712167.76333413, -23405.9872604401 6712162.27576193, -23398.5628980477 6712167.60193495, -23389.5245438308 6712175.83329326, -23374.8372182284 6712187.77683276, -23364.0234730047 6712196.33098943, -23350.9501392267 6712205.36934364, -23335.2944185297 6712217.15148396, -23326.5788626777 6712224.73724554, -23330.9366406037 6712231.19321283, -23343.2029784694 6712222.63905617, -23394.0437209393 6712181.48226464, -23409.6994416363 6712169.37732596, -23410.5064375486 6712167.76333413))";"Ja";"Bjørnafjorden";"4624";"Vestland";"46";"";"4604 Bergen-Os-Austevoll 2021-2026,E1260 Hordaland vest 2016-2022,4611 Tunnel 2021-2025,E4651 Bergen";"FV552 S1D1 m6381";"Fylkesveg";"Eksisterende";"552";"1";"1";"6380,842";"6380,842";"805706";"0,98775435";"0,98775435";"WITH";"";"";"kanalisertVeg";"0";"64:119378458";"";"POINT Z(-23333.883 6712228.177 1.205)"
"1013512500";"41";"1";"1";"2021-04-28";"";"2021-08-17T07:46:47";"Hatvik-Venjaneset";"4";"";"";"";"";"2255";"";"";"";"";"Fylkeskommune";"";"POINT (-20232.7303100652 6711458.68378535)";"";"POLYGON ((-20242.9531177072 6711460.51864826, -20244.0016107987 6711457.63529226, -20237.4485289769 6711433.25782788, -20205.9937362322 6711318.44783437, -20187.907230404 6711293.28400017, -20168.2479849386 6711277.5566038, -20148.850862746 6711266.54742634, -20140.9871645599 6711274.41112452, -20162.7433962083 6711288.56578126, -20193.9360656801 6711318.97208091, -20201.0133940476 6711331.29187474, -20210.1877085982 6711363.00879075, -20225.1287351519 6711423.29714352, -20232.2060635194 6711463.40200426, -20242.9531177072 6711460.51864826))";"";"Bjørnafjorden";"4624";"Vestland";"46";"";"1208 Sunnhordland 2019-2024,E1260 Hordaland vest 2016-2022,4611 Tunnel 2021-2025,E4652 Hardanger,4660 Drift og vedlikehold av ferjekaier Vestland 2021-2026,4612 Midthordland 2024-2029";"FV552 S3D1 m24";"Fylkesveg";"Eksisterende";"552";"3";"1";"24";"24";"804999";"0,00242378";"0,00242378";"WITH";"";"";"kanalisertVeg";"0";"64:119378459";"";"POINT Z(-20239.338 6711458.31 1.622)"
